#92121
signalName,Outcome from download
IP4IM,Downloaded :)))
ISHP,Downloaded :)))
IP,Downloaded :)))
ID2,Downloaded :)))
IPFX,Downloaded :)))
IP4T,Downloaded :)))
ID4,Downloaded :)))
IPRIM,Downloaded :)))
ID3,Downloaded :)))
ID1,Downloaded :)))
