#93174
signalName,Outcome from download
ISHP,Downloaded :)))
ID3,Downloaded :)))
ID4,Downloaded :)))
IP,Downloaded :)))
ID2,Downloaded :)))
ID1,Downloaded :)))
IP4IM,Downloaded :)))
IPRIM,Downloaded :)))
IP4T,Downloaded :)))
IPFX,Downloaded :)))
