#93174
signalName,Outcome from download
LOG,Downloaded :)))
RSIGB,Downloaded :)))
GAP26,Downloaded :)))
GAP20,Downloaded :)))
GAP30,Downloaded :)))
GAP23,Downloaded :)))
GAP24,Downloaded :)))
GAP7,Downloaded :)))
GAP6,Downloaded :)))
GAP21,Downloaded :)))
GAP28,Downloaded :)))
GAP17,Downloaded :)))
ZSIGB,Downloaded :)))
GAP29,Downloaded :)))
CTYPE,Downloaded :)))
GAP22,Downloaded :)))
TOG5,Downloaded :)))
RSOGB,Downloaded :)))
GAP18,Downloaded :)))
ZSOGB,Downloaded :)))
WLBSRP,Downloaded :)))
GAP2,Downloaded :)))
RIG,Downloaded :)))
TOG3,Downloaded :)))
TOG2,Downloaded :)))
GAP25,Downloaded :)))
ZX,Downloaded :)))
GAP31,Downloaded :)))
GAP27,Downloaded :)))
GAP4,Downloaded :)))
ROG,Downloaded :)))
GAP19,Downloaded :)))
GAP3,Downloaded :)))
GAP32,Downloaded :)))
ZUP,Downloaded :)))
TOG1,Downloaded :)))
TOG4,Downloaded :)))
RX,Downloaded :)))
