#92121
signalName,Outcome from download
GAP7,Downloaded :)))
CTYPE,Downloaded :)))
RIG,Downloaded :)))
TOG2,Downloaded :)))
GAP3,Downloaded :)))
ZX,Downloaded :)))
RSOGB,Downloaded :)))
GAP22,Downloaded :)))
ZSIGB,Downloaded :)))
GAP25,Downloaded :)))
RSIGB,Downloaded :)))
GAP19,Downloaded :)))
TOG5,Downloaded :)))
GAP26,Downloaded :)))
GAP31,Downloaded :)))
TOG4,Downloaded :)))
GAP17,Downloaded :)))
GAP32,Downloaded :)))
TOG3,Downloaded :)))
GAP20,Downloaded :)))
GAP6,Downloaded :)))
GAP18,Downloaded :)))
GAP23,Downloaded :)))
GAP28,Downloaded :)))
ROG,Downloaded :)))
GAP21,Downloaded :)))
GAP2,Downloaded :)))
GAP4,Downloaded :)))
ZUP,Downloaded :)))
GAP24,Downloaded :)))
WLBSRP,Downloaded :)))
RX,Downloaded :)))
LOG,Downloaded :)))
GAP30,Downloaded :)))
GAP27,Downloaded :)))
TOG1,Downloaded :)))
ZSOGB,Downloaded :)))
GAP29,Downloaded :)))
