#93165
signalName,Outcome from download
IP4T,Downloaded :)))
IP4IM,Downloaded :)))
IPRIM,Downloaded :)))
ID3,Downloaded :)))
ID2,Downloaded :)))
ID1,Downloaded :)))
ID4,Downloaded :)))
IPFX,Downloaded :)))
ISHP,Downloaded :)))
IP,Downloaded :)))
