#92504
signalName,Outcome from download
GAP2,Downloaded :)))
GAP4,Downloaded :)))
GAP32,Downloaded :)))
TOG1,Downloaded :)))
GAP18,Downloaded :)))
WLBSRP,Downloaded :)))
TOG2,Downloaded :)))
ZUP,Downloaded :)))
TOG5,Downloaded :)))
GAP23,Downloaded :)))
GAP25,Downloaded :)))
GAP22,Downloaded :)))
GAP26,Downloaded :)))
ZSIGB,Downloaded :)))
GAP19,Downloaded :)))
GAP3,Downloaded :)))
TOG3,Downloaded :)))
ZX,Downloaded :)))
GAP7,Downloaded :)))
RX,Downloaded :)))
ROG,Downloaded :)))
RSOGB,Downloaded :)))
GAP20,Downloaded :)))
RIG,Downloaded :)))
GAP29,Downloaded :)))
GAP30,Downloaded :)))
GAP17,Downloaded :)))
TOG4,Downloaded :)))
CTYPE,Downloaded :)))
GAP21,Downloaded :)))
LOG,Downloaded :)))
GAP6,Downloaded :)))
GAP28,Downloaded :)))
ZSOGB,Downloaded :)))
GAP31,Downloaded :)))
RSIGB,Downloaded :)))
GAP24,Downloaded :)))
GAP27,Downloaded :)))
