#92121
signalName,Outcome from download
RSIU,Downloaded :)))
NBND,Downloaded :)))
ZSOU,Downloaded :)))
RSIL,Downloaded :)))
ZSIL,Downloaded :)))
FLME,Downloaded :)))
ZSOL,Downloaded :)))
RSOU,Downloaded :)))
FLCA,Downloaded :)))
PSIR,Downloaded :)))
ZMAG,Downloaded :)))
BPME,Downloaded :)))
FAXS,Downloaded :)))
RBND,Downloaded :)))
PSIZ,Downloaded :)))
ZSIU,Downloaded :)))
RSOL,Downloaded :)))
ZBND,Downloaded :)))
FBND,Downloaded :)))
BPCA,Downloaded :)))
PSI,Downloaded :)))
RMAG,Downloaded :)))
