#93165
signalName,Outcome from download
RSIU,Downloaded :)))
FLME,Downloaded :)))
FLCA,Downloaded :)))
ZSOU,Downloaded :)))
ZSIU,Downloaded :)))
PSIR,Downloaded :)))
ZSOL,Downloaded :)))
RSIL,Downloaded :)))
RSOU,Downloaded :)))
PSI,Downloaded :)))
BPME,Downloaded :)))
NBND,Downloaded :)))
RMAG,Downloaded :)))
ZBND,Downloaded :)))
FAXS,Downloaded :)))
BPCA,Downloaded :)))
RBND,Downloaded :)))
ZSIL,Downloaded :)))
FBND,Downloaded :)))
RSOL,Downloaded :)))
ZMAG,Downloaded :)))
PSIZ,Downloaded :)))
