#93165
signalName,Outcome from download
TOG5,Downloaded :)))
ZUP,Downloaded :)))
GAP20,Downloaded :)))
GAP2,Downloaded :)))
GAP32,Downloaded :)))
TOG2,Downloaded :)))
GAP6,Downloaded :)))
TOG3,Downloaded :)))
RSOGB,Downloaded :)))
TOG4,Downloaded :)))
GAP22,Downloaded :)))
GAP4,Downloaded :)))
GAP27,Downloaded :)))
GAP17,Downloaded :)))
GAP19,Downloaded :)))
GAP28,Downloaded :)))
GAP26,Downloaded :)))
WLBSRP,Downloaded :)))
GAP25,Downloaded :)))
GAP29,Downloaded :)))
ZX,Downloaded :)))
GAP18,Downloaded :)))
RSIGB,Downloaded :)))
RIG,Downloaded :)))
GAP21,Downloaded :)))
CTYPE,Downloaded :)))
LOG,Downloaded :)))
GAP3,Downloaded :)))
ROG,Downloaded :)))
GAP7,Downloaded :)))
GAP23,Downloaded :)))
ZSOGB,Downloaded :)))
TOG1,Downloaded :)))
GAP30,Downloaded :)))
GAP31,Downloaded :)))
GAP24,Downloaded :)))
ZSIGB,Downloaded :)))
RX,Downloaded :)))
