#93174
signalName,Outcome from download
RSIU,Downloaded :)))
ZSOL,Downloaded :)))
PSIR,Downloaded :)))
RSOU,Downloaded :)))
ZSIU,Downloaded :)))
NBND,Downloaded :)))
BPME,Downloaded :)))
PSIZ,Downloaded :)))
RMAG,Downloaded :)))
ZBND,Downloaded :)))
ZSOU,Downloaded :)))
RSOL,Downloaded :)))
FBND,Downloaded :)))
RSIL,Downloaded :)))
BPCA,Downloaded :)))
FLME,Downloaded :)))
ZMAG,Downloaded :)))
PSI,Downloaded :)))
RBND,Downloaded :)))
FLCA,Downloaded :)))
ZSIL,Downloaded :)))
FAXS,Downloaded :)))
